car_id,price,fuel type,gear type,Make,Model,Year of manufacture,Colour,Condition,Mileage,Engine Size,Selling Condition,Bought Condition,car,Registered city
BzvzeohSLKA2PjywTtWyVWWa,4725000,Hybrid,Automatic,Lexus,RX 400h,2006,Gray,Nigerian Used,197857,3300,Registered,Registered,Unknown,Unknown
43cFG7We0fA57MNbmR7mfTqD,4160000,Petrol,Automatic,Acura,MDX,2008,Black,Nigerian Used,83701,3500,Registered,Imported,SUV,LAGOS
BZv2RAaXvkhCkSZxHpXBuhz5,8840000,Petrol,Automatic,Toyota,Highlander,2009,Silver,Foreign Used,194581,3500,Imported,Imported,SUV,Unknown
pPg3iP6nL8IqA3juwxNRLw8m,3640000,Petrol,Automatic,Lexus,ES,2007,Red,Nigerian Used,181974,3500,Registered,Imported,Unknown,LAGOS
ppa7P4CfogFeD9KaU5urQ7Y3,4160000,Petrol,Automatic,Mercedes-Benz,M Class,2007,Gold,Nigerian Used,126048,3500,Registered,Imported,SUV,LAGOS
wQajIZxTeX1HPesmV2Se9wxb,7360000,Petrol,Automatic,Toyota,Tacoma,2010,Gray,Nigerian Used,105530,3500,Registered,Imported,Truck,LAGOS
CzA8eoAXw33mrIRa6aozRCG7,4576000,Petrol,Automatic,Toyota,Camry,2012,Red,Nigerian Used,300082,2500,Registered,Imported,Sedan,LAGOS
2G9QlB0tGroxxN00N9Lrp7y2,6152000,Petrol,Automatic,Toyota,RAV4,2009,Silver,Foreign Used,118256,2500,Imported,Imported,SUV,Unknown
43cFG7We0fA57MNbmR7mfTqD,4160000,Petrol,Automatic,Acura,MDX,2008,Black,Nigerian Used,83701,3500,Registered,Imported,SUV,LAGOS
7v2JDzdul3aS0gN2Jm3tXQVg,9000000,Petrol,Automatic,Land Rover,Range Rover,2012,Brown,Foreign Used,115,4900,Imported,Imported,SUV,Unknown
pPg3iP6nL8IqA3juwxNRLw8m,3640000,Petrol,Automatic,Lexus,ES,2007,Red,Nigerian Used,181974,3500,Registered,Imported,Unknown,LAGOS
3cxLmpOn5EMfwg6J9gVRNO8I,4680000,Petrol,Automatic,Mercedes-Benz,GL-Class,2007,Black,Nigerian Used,235866,4700,Registered,Registered,SUV,Unknown
eYTiWAkCNzu5iEk6tsQKLuEq,8112000,Petrol,Automatic,Toyota,Highlander,2008,Blue,Foreign Used,107641,3500,Imported,Imported,SUV,Unknown
ppa7P4CfogFeD9KaU5urQ7Y3,4160000,Petrol,Automatic,Mercedes-Benz,M Class,2007,Gold,Nigerian Used,126048,3500,Registered,Imported,SUV,LAGOS
ksLDaKfvCRNRm5nPxMJWxU0N,6240000,Petrol,Automatic,Toyota,Highlander,2008,Gray,Nigerian Used,143583,3500,Registered,Imported,SUV,Unknown
wtFHr0JNVp2vJpOGzDwHsf8B,10080000,Petrol,Automatic,Lexus,ES,2014,Black,Foreign Used,172741,3500,Imported,Imported,Sedan,Unknown
BegKS07Z3ArvKRRgm8duwLG5,3952000,Petrol,Automatic,Toyota,Camry,2011,Gray,Nigerian Used,149124,3500,Registered,Imported,Sedan,FCT
ugK1yB7sA7sWIPiPVcVpQv5i,4680000,Petrol,Automatic,Toyota,Camry,2011,Black,Foreign Used,237328,2400,Imported,Imported,Unknown,Unknown
7PJ6niJkTiX41ci5DiRtjg8o,8320000,Petrol,Automatic,Toyota,Venza,2012,Brown,Nigerian Used,2255693,3500,Registered,Imported,Crossover,LAGOS
z767UvewhbJyKCtrjt967Oal,3675000,Petrol,Automatic,Toyota,Highlander,2004,Gray,Foreign Used,210314,3300,Imported,Imported,Unknown,Unknown
nHsnrrZk5Eliyh2golUcyohA,6760000,Petrol,Automatic,Mercedes-Benz,GL-Class,2008,Black,Nigerian Used,115647,4000,Registered,Imported,SUV,Unknown
ugK1yB7sA7sWIPiPVcVpQv5i,4680000,Petrol,Automatic,Toyota,Camry,2011,Black,Foreign Used,237328,2400,Imported,Imported,Unknown,Unknown
hI2ES3wPs918udEVtrFGu6WX,9048000,Petrol,Automatic,Toyota,Venza,2012,Silver,Foreign Used,125117,2700,Imported,Imported,SUV,Unknown
tVHSjZFTxAeN50YuArP5bFrP,14560000,Petrol,Automatic,Mercedes-Benz,M Class,2014,Blue,Foreign Used,268495,4600,Imported,Imported,SUV,Unknown
piw7bvybihdxZfNXXZ0LXHWY,4725000,Petrol,Automatic,Lexus,ES,2007,Gold,Foreign Used,163143,3500,Imported,Imported,Unknown,Unknown
xEWXjuHf6yN6uIrnLxlYz3EB,4200000,Petrol,Automatic,Renault,Duster,2010,Black,Nigerian Used,48294,1600,Registered,Registered,SUV,Lagos
jTRxABUFh3ibsfGllCY7lKg7,5000000,Petrol,Automatic,Toyota,Highlander,2008,Black,Nigerian Used,117980,3500,Registered,Registered,SUV,Unknown
1K63Licze875g8i1fj53b6Gu,6300000,Petrol,Manual,Toyota,Hilux,2012,White,Nigerian Used,189367,2700,Registered,Registered,Unknown,Unknown
ko7Lp6xiJhHn8AzGmfwqFoNY,13650000,Petrol,Automatic,Mercedes-Benz,Viano,2012,Black,Nigerian Used,45933,3500,Registered,Brand new,Van,LAGOS
mzWjzZkS0MiOOeITysEnCRMr,7140000,Petrol,Automatic,Hyundai,Creta,2016,Gray,Nigerian Used,102874,1600,Registered,Registered,SUV,Unknown
pgoWs5MSx2zEC8a7ERkQrZ6H,9360000,Petrol,Automatic,Mercedes-Benz,M Class,2011,Gray,Foreign Used,90047,3500,Imported,Imported,SUV,Unknown
9Pjv65FtvaRp4cZlMeDzXiIq,6300000,Petrol,Automatic,Toyota,Venza,2013,Brown,Nigerian Used,221615,2700,Registered,Imported,SUV,ABUJA
eYiu6zN0FcHoQgTuTYKxJ7pz,8840000,Petrol,Automatic,Toyota,Tacoma,2008,Black,Foreign Used,89611,4000,Imported,Imported,Unknown,Unknown
3cxLmpOn5EMfwg6J9gVRNO8I,4680000,Petrol,Automatic,Mercedes-Benz,GL-Class,2007,Black,Nigerian Used,235866,4700,Registered,Registered,SUV,Unknown
65SP6utZ2P94pvJeHLtXN0XL,6760000,Petrol,Automatic,Lexus,GX,2008,Blue,Nigerian Used,59214,4500,Registered,Imported,SUV,LAGOS
mNK2ZFrGbPcZIihL8mP9dtY2,11550000,Petrol,Automatic,Mercedes-Benz,M Class,2012,White,Foreign Used,340042,3500,Imported,Imported,SUV,Unknown
yDhw8IkWdRHIpEpQngu4McrN,12075000,Petrol,Automatic,Mercedes-Benz,GLK-Class,2015,Silver,Foreign Used,156587,3500,Imported,Imported,SUV,Unknown
BegKS07Z3ArvKRRgm8duwLG5,3952000,Petrol,Automatic,Toyota,Camry,2011,Gray,Nigerian Used,149124,3500,Registered,Imported,Sedan,FCT
nHsnrrZk5Eliyh2golUcyohA,6760000,Petrol,Automatic,Mercedes-Benz,GL-Class,2008,Black,Nigerian Used,115647,4000,Registered,Imported,SUV,Unknown
2AJzBPOEsQ8o22rOOvNZiXVp,3952000,Petrol,Automatic,Lexus,ES,2008,Black,Nigerian Used,91444,3500,Registered,Registered,Unknown,LAGOS
uJP6DFml83zB3qnkPYQUZhqv,5250000,Petrol,Manual,Hyundai,H1,2016,White,Nigerian Used,76961,2400,Registered,Registered,Bus,Unknown
BQravjVa56zVoEBHtSUv4GKA,4410000,Petrol,Automatic,Lexus,GX,2003,Gold,Nigerian Used,177852,4700,Registered,Imported,SUV,Lagos
upHOK6vduiV7DL6W2SfLl4VX,3937500,Petrol,Automatic,Hyundai,Santa Fe,2013,Silver,Nigerian Used,81128,2000,Registered,Registered,SUV,RIVERS
eYTiWAkCNzu5iEk6tsQKLuEq,8112000,Petrol,Automatic,Toyota,Highlander,2008,Blue,Foreign Used,107641,3500,Imported,Imported,SUV,Unknown
rpZ4UW0MA4aFjwtYvTtsG9Lo,7350000,Petrol,Automatic,Land Rover,Range Rover Evoque,2013,Black,Nigerian Used,147386,2400,Registered,Registered,Unknown,Lagos
dlBpnCA04YRPWbxo4ZAMq5K7,14768000,Petrol,Automatic,Lexus,IS,2015,Black,Foreign Used,117114,2500,Imported,Imported,Unknown,Unknown
tuEV1WqT71zGzCTeZlcYswtX,15600000,Petrol,Automatic,Toyota,Highlander,2015,Blue,Foreign Used,126210,3500,Imported,Imported,SUV,Unknown
avbknhyBB16sXSnCfGUzctu7,3744000,Petrol,Automatic,Acura,MDX,2008,Gray,Nigerian Used,378349,3700,Registered,Imported,SUV,LAGOS
5czUputP1RHEgLGuCjntdtBQ,8984000,Petrol,Manual,Toyota,Hilux,2014,White,Nigerian Used,82115,2700,Registered,Registered,Truck,Lagos
dUeaG32wNmtZLbcwJDlD3bO5,14700000,Petrol,Automatic,Hyundai,Santa Fe,2018,Gray,Nigerian Used,4756,2400,Registered,Brand new,SUV,LAGOS
mttGfeZwn5juHJYMfrjdGwuI,17850000,Petrol,Automatic,Lexus,RC,2017,White,Nigerian Used,27287,3500,Registered,Imported,Coupe,Lagos
ozVksvJmkRvPq6osdoJdA14r,4725000,Petrol,Automatic,Toyota,Highlander,2008,Black,Nigerian Used,119009,3500,Registered,Imported,SUV,Unknown
9RUsrWhb7WZLIJxEKRfdcj8a,4160000,Petrol,Automatic,Lexus,ES,2007,Beige,Nigerian Used,161551,3500,Registered,Imported,Unknown,LAGOS
tCg0t1rCXJk2UxAQNWTcquDh,6825000,Petrol,Automatic,Hyundai,Sonata,2018,Gray,Nigerian Used,56452,2000,Registered,Brand new,Sedan,LAGOS
429yLPyXKtyoYuc2qNc9hzuE,19760000,Petrol,Automatic,Lexus,GX,2015,Black,Nigerian Used,55940,4600,Registered,Imported,SUV,LAGOS
zrgbB9RBEkxEKaQsRVaufQ1a,3675000,Petrol,Automatic,Mercedes-Benz,C300,2008,Silver,Foreign Used,176290,3500,Imported,Imported,Unknown,Unknown
yJAcVMCoaAw7XTerWZLFOZv8,10400000,Petrol,Automatic,Toyota,Sequoia,2008,Black,Nigerian Used,198169,5700,Registered,Imported,SUV,Unknown
jEjN11cLFB3x1AF2bHOspua5,3640000,Petrol,Automatic,Toyota,Highlander,2006,Silver,Nigerian Used,111574,2400,Registered,Imported,SUV,Unknown
nkv65GdhFKNF0TS0YaLyp1Bj,8320000,Petrol,Automatic,Toyota,Highlander,2010,Black,Nigerian Used,191252,3500,Registered,Registered,SUV,Unknown
cTY26sDgZ5yCpoTEOYM3MCiy,4680000,Petrol,Automatic,Toyota,Camry,2012,Gray,Nigerian Used,120486,2500,Registered,Registered,Unknown,Unknown
3Nnj5HD5D4BMQhpBumE7fllL,15600000,Petrol,Automatic,Toyota,Land Cruiser Prado,2011,Black,Nigerian Used,113154,2700,Registered,Registered,SUV,Lagos
fFBawkVI9D6AKOntab7kMsd2,4680000,Petrol,Automatic,Toyota,Camry,2012,Black,Nigerian Used,184118,2500,Registered,Imported,Unknown,Unknown
hMUliKh33TLl1PrIYBMF3lgP,3675000,Petrol,Automatic,Toyota,RAV4,2011,Black,Nigerian Used,121804,2400,Registered,Registered,SUV,LAGOS
rnUqnpT426nv2Qoqh9WqmnlP,4620000,Petrol,Automatic,Mercedes-Benz,C-Class,2012,Black,Nigerian Used,119275,2500,Registered,Registered,Unknown,LAGOS
Cpk1o3z9IGeThrWb6z8T1j9V,4680000,Petrol,Automatic,Toyota,Camry,2012,Black,Nigerian Used,23563,2500,Registered,Imported,Sedan,LAGOS
fkAp7N7u6HFM52Vts1hqDIy8,7350000,Petrol,Automatic,Toyota,Venza,2009,Gray,Foreign Used,86051,3500,Imported,Imported,SUV,Unknown
oOj4InoeDL0SvLMjdTSOvL6T,4680000,Petrol,Automatic,Toyota,Camry,2007,Gray,Foreign Used,105430,2400,Imported,Imported,Unknown,Unknown
5hw06fzT8j7BUrq4AXTeFc41,6050000,Petrol,Automatic,Toyota,Sienna,2012,Gray,Foreign Used,59425,3500,Imported,Imported,SUV,Unknown
5B55rWY4OQkKslv4EIitkcMH,27040000,Petrol,Automatic,Toyota,Tundra,2018,Silver,Foreign Used,72709,57000,Imported,Imported,Truck,Unknown
rw3VHxa7AyLt1x7iYZ7nZlXh,5355000,Petrol,Automatic,Toyota,Venza,2009,Gold,Nigerian Used,77282,2700,Registered,Registered,SUV,LAGOS
hzYSEiCQb0AZ11SofvgMTbdP,5250000,Petrol,Automatic,Toyota,Camry,2012,Gray,Foreign Used,308314,2500,Imported,Imported,Sedan,Unknown
zdIt2DF41eAFHcHs71q1wqY1,5670000,Hybrid,Automatic,Lexus,RX 400h,2006,Silver,Nigerian Used,110410,3500,Registered,Imported,SUV,Abuja
nfsRC8HdkQNo1JhS33FROWRG,5720000,Petrol,Automatic,Toyota,Corolla,2014,Gray,Nigerian Used,120525,1800,Registered,Registered,Sedan,Lagos
cJiTHLTNPyOUPAuOdHsdrdt8,26000000,Petrol,Automatic,Toyota,Avalon,2007,White,Nigerian Used,148988,3500,Registered,Imported,Unknown,Lagos
uQ8pMdcjvTwZ2Jxkn5gRorCb,3360000,Petrol,Automatic,Saturn,Vue,2008,Blue,Nigerian Used,275713,3600,Registered,Registered,SUV,LAGOS
jVuoGwGK5ZlHOFaRQq8F1Gxd,13650000,Petrol,Automatic,Mercedes-Benz,GLA 250,2015,Red,Foreign Used,47864,2000,Imported,Imported,Hatchback,Unknown
box9ZCTWi9lT9ZbeN8Bptwao,5460000,Hybrid,Automatic,Toyota,Camry,2015,Black,Foreign Used,144806,2500,Imported,Imported,Unknown,Unknown
C67vZijNDszqEw4JqhcjADHE,13650000,Petrol,Automatic,Mercedes-Benz,M Class,2013,Black,Foreign Used,146218,3500,Imported,Imported,SUV,Unknown
2fnKasPMLtLAp3D9zilBJ2H,6136000,Petrol,Automatic,Toyota,Highlander,2009,Gray,Nigerian Used,108067,3500,Registered,Registered,SUV,Unknown
rH7rM6Cg2ckp306yhboAL8Cl,6240000,Petrol,Automatic,Lexus,GX,2005,Black,Nigerian Used,145875,4700,Registered,Registered,Unknown,Lagos
eSngNA9jVSZUDac3DHDEV0lK,8320000,Petrol,Automatic,Toyota,Highlander,2012,White,Nigerian Used,76040,3500,Registered,Registered,SUV,Lagos
b6Q3dlHiTp6O12kSvXO48ZBH,14175000,Petrol,Automatic,Toyota,Highlander,2015,Burgandy,Foreign Used,165406,3500,Imported,Imported,SUV,Unknown
aGaXozFAEoJY2qEyEMgO52qJ,3952000,Petrol,Automatic,Mercedes-Benz,C350,2009,Blue,Nigerian Used,90404,3500,Registered,Registered,Unknown,Unknown
kVvegPleoV90wGhe4125Wrzj,9975000,Petrol,Automatic,Ford,Explorer,2009,Brown,Nigerian Used,128563,4000,Registered,Registered,SUV,LAGOS
k0V11V06zGtmB0fSvZdp2BId,3255000,Petrol,Automatic,Toyota,RAV4,2009,Red,Nigerian Used,105970,2500,Registered,Registered,SUV,LAGOS
Ct1shsrUHzZpONPukm2d4ffm,6032000,Petrol,Automatic,Toyota,RAV4,2007,White,Foreign Used,92686,3500,Imported,Imported,Unknown,Unknown
k16qfI3QfdEZznDNxzKHttmR,4515000,Petrol,Automatic,Toyota,Camry,2012,Black,Nigerian Used,131825,2500,Registered,Registered,Unknown,LAGOS
873pEAKyJhliRPUbYlVQDI8y,4680000,Petrol,Automatic,Toyota,RAV4,2007,Silver,Nigerian Used,182271,3500,Registered,Registered,SUV,Lagos
7nMtTjoxvhhHYRslwC7U6egd,5720000,Petrol,Automatic,Mercedes-Benz,GL-Class,2007,Silver,Nigerian Used,81016,4700,Registered,Registered,SUV,Unknown
eVc48VtUh2NqDlSxxRcEWHHb,9450000,Petrol,Automatic,Toyota,HiAce,2007,Silver,Foreign Used,80513,2800,Imported,Imported,Bus,Unknown
8agmUuKG9XdWgMvdBgmffOVt,16640000,Petrol,Automatic,Mercedes-Benz,M Class,2014,Black,Nigerian Used,176290,3500,Registered,Imported,SUV,LAGOS
hYXqZcXmSB95gplCqF5WbIVB,6090000,Petrol,Automatic,Toyota,Camry,2015,Black,Nigerian Used,53724,2500,Registered,Registered,Unknown,ABUJA
kZsUzfpT5WIWrevJJSIu6s9E,5200000,Petrol,Automatic,Toyota,Corolla,2010,Red,Foreign Used,360532,1800,Imported,Imported,Unknown,Unknown
surXsyICnZuqVPRmgSKoEXNh,6300000,Petrol,Automatic,Lexus,ES,2011,Blue,Foreign Used,148859,3500,Imported,Imported,Sedan,Unknown
s4d8VC44VpXroXYz4lKXtpLn,7350000,Petrol,CVT,Toyota,Corolla,2015,Silver,Nigerian Used,67407,1800,Registered,Imported,Sedan,EDO
5QriUBKJEgF7Z9r7NOCJMoX0,6090000,Petrol,Automatic,Lexus,ES,2011,Silver,Foreign Used,106891,3500,Imported,Imported,Unknown,Unknown
hYcok8tYaIvLVtQ2xWwvA1LM,4784000,Petrol,Automatic,Toyota,Camry,2011,Silver,Foreign Used,230512,2500,Imported,Imported,Sedan,Unknown
fkAp7N7u6HFM52Vts1hqDIy8,7350000,Petrol,Automatic,Toyota,Venza,2009,Gray,Foreign Used,86051,3500,Imported,Imported,SUV,Unknown
pbzj4eIAwwsh59Bhio5CX95G,4160000,Petrol,Automatic,Lexus,ES,2005,Gold,Foreign Used,158940,3300,Imported,Imported,Sedan,Unknown
hFUdLGWQLk4YLE2Cu3JR8hVs,6968000,Petrol,Automatic,Mercedes-Benz,GLK-Class,2010,Blue,Nigerian Used,256449,3500,Registered,Imported,SUV,LAGOS
rnUqnpT426nv2Qoqh9WqmnlP,4620000,Petrol,Automatic,Mercedes-Benz,C-Class,2012,Black,Nigerian Used,119275,2500,Registered,Registered,Unknown,LAGOS
xDCsmT4WqG9gO2Z1yStnBbiU,7800000,Petrol,Automatic,Toyota,Camry,2012,White,Foreign Used,138794,2500,Imported,Imported,Sedan,Unknown
cJiTHLTNPyOUPAuOdHsdrdt8,26000000,Petrol,Automatic,Toyota,Avalon,2007,White,Nigerian Used,148988,3500,Registered,Imported,Unknown,Lagos
BTqNRVncbOrgbnNp4cZIxW8g,5304000,Petrol,Automatic,Toyota,Camry,2013,Gray,Nigerian Used,178358,2500,Registered,Registered,Sedan,Unknown
A5XxsbVlrLSz043wfe5QVO1q,3990000,Petrol,Automatic,Toyota,Sienna,2006,Gray,Foreign Used,140689,3300,Imported,Imported,SUV,Unknown
hMUliKh33TLl1PrIYBMF3lgP,3675000,Petrol,Automatic,Toyota,RAV4,2011,Black,Nigerian Used,121804,2400,Registered,Registered,SUV,LAGOS
65dOwu6ssrc50KbAeIq0KlcM,9030000,Petrol,Automatic,Mercedes-Benz,M Class,2012,Silver,Nigerian Used,152145,3500,Registered,Imported,SUV,LAGOS
wp8sfYyka7vKJSQHYuPB5gvM,4680000,Petrol,Automatic,Toyota,Camry,2010,Silver,Foreign Used,250791,2400,Imported,Imported,Unknown,Unknown
rw3VHxa7AyLt1x7iYZ7nZlXh,5355000,Petrol,Automatic,Toyota,Venza,2009,Gold,Nigerian Used,77282,2700,Registered,Registered,SUV,LAGOS
wruwSBd1b6joWhoyRtMr6I0r,5880000,Petrol,Automatic,Toyota,Camry,2012,Red,Foreign Used,276388,2500,Imported,Imported,Sedan,Unknown
q9vcRU0uAw3VS3ADFpcQPVkx,4680000,Petrol,Automatic,Toyota,Matrix,2009,Gray,Foreign Used,267189,1800,Imported,Imported,SUV,Unknown
wp8sfYyka7vKJSQHYuPB5gvM,4680000,Petrol,Automatic,Toyota,Camry,2010,Silver,Foreign Used,250791,2400,Imported,Imported,Unknown,Unknown
A5XxsbVlrLSz043wfe5QVO1q,3990000,Petrol,Automatic,Toyota,Sienna,2006,Gray,Foreign Used,140689,3300,Imported,Imported,SUV,Unknown
iddmNgwhS4P6QXCb5EOtkBoH,3465000,Petrol,Automatic,Toyota,Camry,2007,Gray,Foreign Used,151648,2400,Imported,Imported,Sedan,Unknown
5izOFZRmpxjCmaR7AHPDSlQU,4680000,Petrol,Automatic,Lexus,ES,2009,Silver,Nigerian Used,151202,3500,Registered,Imported,Sedan,Lagos
hxOqe5Nq3zDaEzGaeABTVucK,6760000,Petrol,Automatic,Toyota,Camry,2013,Gold,Foreign Used,65176,2500,Imported,Imported,Unknown,Unknown
fEBMLBkttIi1AE9YxY1v2lFz,4680000,Petrol,Automatic,Toyota,Matrix,2009,White,Foreign Used,440220,2400,Imported,Imported,Hatchback,Unknown
umqZrbusLwmMfJfUhSazQ0tu,5408000,Petrol,Automatic,Toyota,Sienna,2007,White,Foreign Used,326148,3500,Imported,Imported,Unknown,Unknown
Bb77ydOClQhMRoO12oLRTAF2,4410000,Petrol,Automatic,Ford,Sport Trac,2007,Blue,Nigerian Used,241016,4000,Registered,Registered,Unknown,Unknown
pbzj4eIAwwsh59Bhio5CX95G,4160000,Petrol,Automatic,Lexus,ES,2005,Gold,Foreign Used,158940,3300,Imported,Imported,Sedan,Unknown
9ScRVVtbUOF3wRryCMqh3UsT,3536000,Petrol,Automatic,Toyota,Matrix,2005,Black,Foreign Used,318227,1800,Imported,Imported,Hatchback,Unknown
bkE18IGtLwy6WITBdP2f7xmS,6090000,Petrol,Automatic,Mercedes-Benz,GL-Class,2007,Blue,Foreign Used,235543,4700,Imported,Imported,SUV,Unknown
wruwSBd1b6joWhoyRtMr6I0r,5880000,Petrol,Automatic,Toyota,Camry,2012,Red,Foreign Used,276388,2500,Imported,Imported,Sedan,Unknown
xnjOlXTMvx3i5QzX58B8R32a,4042500,Petrol,Automatic,Toyota,Camry,2012,Black,Nigerian Used,120211,2500,Registered,Registered,Unknown,Unknown
2OiTmyJbog7BATfAucDzJiKZ,9975000,Petrol,Automatic,Toyota,Land Cruiser,2004,Black,Nigerian Used,133877,4700,Registered,Registered,SUV,LAGOS
lle0V5OZR9dYQfUuWkkDZUr7,4160000,Petrol,Automatic,Acura,MDX,2008,Black,Nigerian Used,93672,3700,Registered,Imported,SUV,LAGOS
bgTDOyGkG08WfI23CXasUFeH,14700000,Petrol,Automatic,Mercedes-Benz,GL-Class,2013,Gray,Foreign Used,255241,4700,Imported,Imported,SUV,Unknown
oHU2t9RolyldJjyXP3hrGrhD,9975000,Petrol,Automatic,Toyota,Venza,2014,Beige,Foreign Used,86051,2700,Imported,Imported,SUV,Unknown
xDCsmT4WqG9gO2Z1yStnBbiU,7800000,Petrol,Automatic,Toyota,Camry,2012,White,Foreign Used,138794,2500,Imported,Imported,Sedan,Unknown
mlDujRxmxK6sXfgmXUdHZOPq,3120000,Petrol,Automatic,Toyota,Camry,2007,Silver,Nigerian Used,225137,2400,Registered,Imported,Unknown,Unknown
kyweCFu34DdMAczUfEJX50EV,5512000,Petrol,Automatic,Toyota,Camry,2010,Blue,Foreign Used,201585,2500,Imported,Imported,Unknown,Unknown
3j82xpcPOQZT0NGdS55FggIC,15750000,Petrol,Automatic,Hyundai,Sonata,2020,Gray,Nigerian Used,15637,2500,Registered,Registered,Sedan,Abuja
bgS43iQCvoC1F9VJMSz968u9,3224000,Petrol,Automatic,Toyota,Camry,2004,White,Foreign Used,369013,3000,Imported,Imported,Unknown,Unknown
sKQAqpJ4bfMLCJQqumhQF6sf,5250000,Petrol,Manual,Toyota,Land Cruiser Prado,2008,Black,Nigerian Used,192365,2700,Registered,Brand new,SUV,LAGOS
muzWHNQztTS58U8AU3QHfacx,6136000,Petrol,Automatic,Lexus,RX 350,2009,Gray,Nigerian Used,196796,3500,Registered,Imported,SUV,LAGOS
eMx5cK6MCefmPvgV4PHTmen0,4368000,Hybrid,Automatic,Toyota,Camry,2007,Silver,Foreign Used,229969,2400,Imported,Imported,Sedan,Unknown
mjSRVEAM8fyy39o0B1UQAxRJ,3640000,Petrol,Automatic,Toyota,RAV4,2009,Silver,Nigerian Used,159453,3500,Registered,Imported,SUV,RIVERS
